unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
West & Central Africa,STP,Sao Tome and Principe,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SAU,Saudi Arabia,HEPBB,98,96,98,98,98,99,99,98,98,98,98,96,95,96,95,94,98,94,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,HEPBB,63,72,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,HEPBB,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,HEPBB,91,91,91,71,68,68,67,69,69,69,71,72,74,74,72,77,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVK,Slovakia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,HEPBB,67,67,67,65,62,58,59,61,62,71,80,83,81,80,78,76,73,99,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SSD,South Sudan,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,LKA,Sri Lanka,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,PSE,State of Palestine,HEPBB,99,99,99,99,99,97,97,96,96,95,95,99,99,98,97,95,93,94,95,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SUR,Suriname,HEPBB,79,80,80,65,64,45,51,46,41,36,69,67,64,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SWE,Sweden,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CHE,Switzerland,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TJK,Tajikistan,HEPBB,99,99,92,95,98,98,98,98,96,97,85,83,94,98,90,77,80,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,THA,Thailand,HEPBB,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TLS,Timor-Leste,HEPBB,66,61,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TON,Tonga,HEPBB,88,88,80,81,89,89,84,89,88,88,88,89,89,89,89,89,88,89,89,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,TTO,Trinidad and Tobago,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,TUN,Tunisia,HEPBB,81,83,85,88,80,82,73,80,82,88,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TUR,Turkey,HEPBB,99,99,99,99,99,99,97,97,97,96,96,96,95,94,88,78,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,TKM,Turkmenistan,HEPBB,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,TUV,Tuvalu,HEPBB,99,99,99,98,99,97,99,98,99,99,99,99,99,99,91,90,83,92,99,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,UGA,Uganda,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,UKR,Ukraine,HEPBB,49,49,37,57,57,51,51,53,64,73,82,89,88,96,99,85,70,34,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ARE,United Arab Emirates,HEPBB,97,97,99,96,91,96,96,97,98,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,
Western Europe,GBR,United Kingdom,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,TZA,United Republic of Tanzania,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
